Gene1,Gene2,Label
Spaca9,Camsap1,WT_specific
Zdhhc24,Scn4a,WT_specific
Zdhhc21,Tyms,Shared
Hip1,Cers4,WT_specific
Fbxo36,4833439L19Rik,AD_specific
Lzts3,Ap1s3,AD_specific
Trps1,Adamts17,WT_specific
Gm8032,Gm17026,AD_specific
Zcwpw1,Ccdc78,WT_specific
Slc12a5,Dph5,WT_specific
Susd1,Stau2,WT_specific
Pld5,Gm41408,Shared
Rad51d,Grk1,AD_specific
Kirrel3,Cnot4,WT_specific
Zfp488,Mterf1b,Shared
Igsf10,Gm21119,WT_specific
Tll1,Adcyap1r1,WT_specific
Itgb1bp2,Gm31606,Shared
Ogdh,Nlrp1b,AD_specific
Ddo,Cmah,Shared
Slc37a3,Azin1,AD_specific
Zfp458,Rint1,WT_specific
Ncan,LOC115488470,Shared
Ttc38,Celf1,WT_specific
Tox3,Arhgef37,AD_specific
Scd4,Ift46,Shared
Hmgcll1,Coq8b,WT_specific
Kcnip4,Gm4565,AD_specific
Triobp,Mdga2,Shared
Zfhx3,Fyn,WT_specific
LOC118568050,Adcy10,WT_specific
Stxbp4,Dtx4,WT_specific
Camkmt,Adgrl3,AD_specific
Ndufaf6,Ncan,AD_specific
Mrpl4,Cenpq,Shared
Spop,Barhl2,WT_specific
Trat1,Kirrel,Shared
Mterf3,Gm33153,WT_specific
Rimklb,Bsn,AD_specific
Prickle1,Nup98,AD_specific
Usp44,Kcnq5,AD_specific
Gm2956,Gm10406,Shared
Ssbp2,Ank3,WT_specific
Ptgfrn,Nobox,AD_specific
Zkscan2,Aig1,AD_specific
Tmem69,Gm5459,AD_specific
LOC118568593,Gm9495,AD_specific
Wipf2,Det1,AD_specific
Tarm1,Ascl4,WT_specific
LOC118568080,LOC118568032,AD_specific
Wdfy1,Chst3,AD_specific
Gm52229,Cyp3a13,Shared
Xkr6,Adamts12,WT_specific
Sirt5,4933428G20Rik,WT_specific
Crip3,Amer1,AD_specific
Itgb1bp2,5730409E04Rik,AD_specific
Mgat3,Mcc,WT_specific
Zfp57,Pi15,WT_specific
Klhl32,Fbxo30,AD_specific
Zfp260,Ropn1,AD_specific
Nagk,Chpt1,WT_specific
Tmem19,Rufy3,AD_specific
Pi15,9930021J03Rik,AD_specific
Rexo5,Neurod2,WT_specific
Hspa12a,Cdc123,AD_specific
Khdrbs2,D3Ertd751e,WT_specific
Zfp57,Poglut3,AD_specific
Rarb,Lrrc61,WT_specific
Gm35315,AB010352,Shared
Ppp2r2b,Gm32719,AD_specific
Thra,Ccdc18,AD_specific
Glt8d1,Aqp7,WT_specific
Map3k19,Exoc6b,WT_specific
Nipal1,Ms4a6d,WT_specific
Spopl,Ncor2,WT_specific
Nav2,Kynu,WT_specific
Kcnip4,Ak4,Shared
Hint3,Gmfb,AD_specific
Gmfb,Chd9,AD_specific
Zfp661,Ifi214,WT_specific
Tmed5,Nfkb2,AD_specific
LOC118568634,LOC118568339,AD_specific
Stau2,LOC118567336,AD_specific
Strbp,Dcaf4,AD_specific
Zan,Yeats2,AD_specific
Zmym5,Comt,AD_specific
Urod,Ppp1r9a,AD_specific
Nfia,Gtdc1,AD_specific
Cnr2,Ckap5,WT_specific
Grip1,Eif1,AD_specific
Rab30,Homez,AD_specific
Thra,Gm4841,WT_specific
Trmt13,Mterf3,WT_specific
Miga1,Fam169b,AD_specific
Mmp14,Hoxc9,WT_specific
Shox2,Cd300lf,WT_specific
Ptcd1,Echdc1,AD_specific
Mcmdc2,Atxn7l1,AD_specific
Zfp772,E2f3,AD_specific
Paqr7,Miip,WT_specific
Lzts2,Gm29975,WT_specific
Pde10a,Mcc,Shared
Nebl,Hinfp,WT_specific
Plekha2,Nedd4l,WT_specific
Khdrbs2,Gm14322,WT_specific
Hint3,Cnnm2,Shared
Exoc6b,Dyrk1b,Shared
Spopl,Gsap,WT_specific
Gramd1b,Ap1s3,WT_specific
Foxj3,Brip1,Shared
Zfp420,Hmgcll1,AD_specific
Gpc4,Cntnap5c,WT_specific
Gm10015,4933428G20Rik,AD_specific
Zfp846,Rbm8a,WT_specific
Pde4b,Chchd3,Shared
Spopl,Pwwp2a,WT_specific
Fcamr,Cyrib,Shared
Rab2a,Bhmt,WT_specific
Ubap1,LOC115488470,AD_specific
Nav1,Kcnj3,WT_specific
Zfp939,Zbtb44,AD_specific
