ZNF66,FOCAD,shared
LOC112268342,CES3,shared
MCFD2,BLNK,shared
SYNE2,IKZF3,iPRINT_B
ADAM20,ACADSB,shared
P4HA2,MALL,shared
XAF1,MCPH1,shared
DTNB,ABCA9,shared
TRMT2B,EXD1,iPRINT_B
METTL21A,CFLAR,iPRINT_B
PARP15,ACBD7,shared
ZNF621,RNMT,shared
FAM122C,CFLAR,shared
IKZF3,COA1,shared
KLHL33,FNIP2,shared
MCTP2,GATAD1,shared
ZMAT3,TRAF3IP1,shared
TUBD1,AK3,shared
UGT8,FNIP2,shared
P2RY10,NTRK3,shared
ZNF69,USP33,shared
PDE12,DTNB,shared
L2HGDH,CCDC122,shared
SCAPER,PUS7L,shared
TMEM241,GPR141,shared
OBSCN,MDM2,iPRINT_B
PPFIBP1,ACTR3C,iPRINT_A
PRKN,ADAT1,iPRINT_B
TCAF2,GLIPR1L2,shared
TUBD1,DIS3L,iPRINT_A
LRIG2,ABI2,shared
RNF170,LIMS1,shared
