Gene1,Gene2,In_OWT,In_AD,read count_WT,read count_AD,Label
Opcml,Nos1,1,1,2,1,Shared
Mrpl4,Cbarp,1,1,0,1,AD_specific
Mrpl27,Adat1,1,1,3,0,WT_specific
Zfp940,Sema3e,1,1,0,1,AD_specific
Eif2s3y,Ate1,1,1,1,0,WT_specific
Mzf1,Kcnd2,1,1,1,0,WT_specific
Gm20767,Cab39,1,1,0,1,AD_specific
Mest,Impg2,1,1,32,0,WT_specific
Myoz3,Il1rapl2,1,1,1,0,WT_specific
Rfx4,Fank1,1,1,0,2,AD_specific
Wdfy2,Slc10a7,1,1,1,0,WT_specific
Wdr34,D130037M23Rik,1,1,0,2,AD_specific
Urod,Il7r,1,1,4,0,WT_specific
Mertk,Fn1,1,0,1,0,WT_specific
Stx18,St3gal4,1,1,3,0,WT_specific
Htr4,Aifm2,1,1,0,2,AD_specific
Crx,1810030O07Rik,1,1,1,0,WT_specific
Vmn1r65,Mrpl35,1,1,0,1,AD_specific
Smg9,Armcx1,1,1,0,1,AD_specific
Zfp369,Mterf1b,1,1,30,0,WT_specific
Tafa2,Kcnh7,1,1,0,14,AD_specific
Me3,Abcc9,1,1,0,1,AD_specific
Gmpr2,Ckap5,1,1,13,0,WT_specific
Tmem19,Hells,1,1,0,3,AD_specific
Xpo7,Gm10130,1,1,0,1,AD_specific
Slc35f1,Efcc1,1,1,0,2,AD_specific
Ripk1,Cyp4a31,1,1,7,0,WT_specific
Il1rn,Bnc2,1,0,1,0,WT_specific
Negr1,Mfsd4b5,1,1,1,0,WT_specific
Stk10,Magee2,1,0,1,0,WT_specific
Psg29,LOC118568783,1,1,1,0,WT_specific
Nup50,Krr1,1,1,1,0,WT_specific
Zfp974,Spint3,1,1,1,0,WT_specific
Zfp458,Fadd,1,1,4,0,WT_specific
Zfp318,Art2b,1,1,3,0,WT_specific
Kcne1,Casc1,0,1,0,24,AD_specific
Ppp2r2b,Loxl2,1,1,0,7,AD_specific
Focad,Ankrd10,1,1,18,67,Shared
Washc4,F830016B08Rik,1,1,35,25,Shared
Phf24,Maml2,1,1,0,1,AD_specific
Kcng3,Dnmbp,1,1,0,1,AD_specific
Pdcd4,Nfat5,1,1,1,0,WT_specific
Nrg2,Ncoa7,1,1,1,0,WT_specific
Malt1,Atp1a2,1,1,0,1,AD_specific
Tm2d1,Ascc1,1,1,3,0,WT_specific
Zfp706,Tdrd3,1,1,0,3,AD_specific
Syne1,Nlrp9b,1,1,0,7,AD_specific
Tshz3,Dnm3,1,1,8,5,Shared
Paox,LOC115489981,1,1,489,538,Shared
Impg2,Gm7827,1,1,0,10,AD_specific
Haus2,Cpsf2,1,1,0,1,AD_specific
Reep3,Gm41607,1,1,3,3,Shared
Nfat5,Mfsd4a,1,1,1,0,WT_specific
Zfp26,Trerf1,1,1,1,1,Shared
Wdcp,Kalrn,1,1,18,0,WT_specific
Ikbip,Hhex,1,1,1,0,WT_specific
Trim27,Dtx3l,1,1,0,2,AD_specific
Clec16a,Ccdc43,1,1,0,6,AD_specific
Zfp202,Nbea,1,1,82,114,Shared
Tnks2,Srrm3,1,1,1,1,Shared
Zfp53,Elovl6,1,1,0,12,AD_specific
Tarm1,Ascl4,1,0,1,0,WT_specific
LOC102638047,Baalc,1,1,0,3,AD_specific
Inhba,Golga4,1,1,1,0,WT_specific
LOC115489981,Gm46442,1,1,8,0,WT_specific
Rngtt,D830030K20Rik,1,1,1,0,WT_specific
Gemin8,Anxa9,1,1,0,1,AD_specific
Htr4,Atp1a2,1,1,7,5,Shared
Psors1c2,Pik3c3,1,1,1,0,WT_specific
Zfp839,Luc7l2,1,1,0,13,AD_specific
Gpc4,Adamts7,1,1,1,0,WT_specific
Iars2,Acap2,1,1,7,6,Shared
Spc24,Cycs,1,1,0,1,AD_specific
Tab2,Akr1e1,1,1,1,0,WT_specific
Rprd2,Baalc,1,0,1,0,WT_specific
Zfp488,Mef2c,1,1,41,78,Shared
Vmn1r58,Pik3c3,1,1,3,4,Shared
Zfp990,Cdh19,1,1,1,0,WT_specific
Dynlt1a,Ccdc43,1,1,0,11,AD_specific
Slc38a11,Gjc3,1,1,0,1,AD_specific
Zfp11,Celf2,1,1,0,2,AD_specific
Map3k1,E2f3,1,0,5,0,WT_specific
Zc3h12b,Nkx2-1,1,1,0,1,AD_specific
Xrn1,Dmtf1,1,1,0,1,AD_specific
Ttc38,Spc24,1,1,1,0,WT_specific
Phactr1,Mucl3,1,1,2,0,WT_specific
Gm4841,Crispld1,1,1,1,0,WT_specific
Utp11,Flywch1,1,1,0,1,AD_specific
Cep170,Apex2,1,1,25,0,WT_specific
Pramel50,Gm46935,1,0,2,0,WT_specific
Csf2ra,Alkbh8,1,1,2,16,Shared
Hint3,Csf2ra,1,1,14,0,WT_specific
Strbp,Lzic,1,1,1,0,WT_specific
